date;host;searches
12.09.2016;mobile_web;8944
13.09.2016;Android;12344
13.09.2016;iOS;37264
13.09.2016;mobile_web;10414
14.09.2016;Android;12425
14.09.2016;iOS;29986
14.09.2016;mobile_web;10615
15.09.2016;Android;12173
15.09.2016;iOS;30016
15.09.2016;mobile_web;11374
16.09.2016;Android;11215
16.09.2016;iOS;35299
16.09.2016;mobile_web;9256
17.09.2016;Android;11034
17.09.2016;iOS;26410
17.09.2016;mobile_web;8139
18.09.2016;Android;9546
18.09.2016;iOS;30246
18.09.2016;mobile_web;10547
19.09.2016;Android;12817
19.09.2016;iOS;27120
19.09.2016;mobile_web;9818
20.09.2016;Android;11463
20.09.2016;iOS;33389
20.09.2016;mobile_web;11117
21.09.2016;Android;11934
21.09.2016;iOS;37380
21.09.2016;mobile_web;8674
22.09.2016;Android;10751
22.09.2016;iOS;37158
22.09.2016;mobile_web;10476
23.09.2016;Android;10992
23.09.2016;iOS;31478
23.09.2016;mobile_web;8825
24.09.2016;Android;9948
24.09.2016;iOS;21550
24.09.2016;mobile_web;7763
25.09.2016;Android;9184
25.09.2016;iOS;27996
25.09.2016;mobile_web;8377
26.09.2016;Android;9816
26.09.2016;iOS;30837
26.09.2016;mobile_web;9326
27.09.2016;Android;10875
27.09.2016;iOS;30084
27.09.2016;mobile_web;10783
28.09.2016;Android;10708
28.09.2016;iOS;29488
28.09.2016;mobile_web;10137
29.09.2016;Android;9674
29.09.2016;iOS;33311
29.09.2016;mobile_web;9185
30.09.2016;Android;9449
30.09.2016;iOS;30038
30.09.2016;mobile_web;9589
01.10.2016;Android;9613
01.10.2016;iOS;26135
01.10.2016;mobile_web;7867
02.10.2016;Android;9936
02.10.2016;iOS;26139
02.10.2016;mobile_web;10361
03.10.2016;Android;12663
03.10.2016;iOS;28721
03.10.2016;mobile_web;8584
04.10.2016;Android;10901
04.10.2016;iOS;32674
04.10.2016;mobile_web;9280
05.10.2016;Android;12020
05.10.2016;iOS;30361
05.10.2016;mobile_web;10199
06.10.2016;Android;10919
06.10.2016;iOS;24631
06.10.2016;mobile_web;9430
07.10.2016;Android;9781
07.10.2016;iOS;25770
07.10.2016;mobile_web;9382
08.10.2016;Android;10825
08.10.2016;iOS;28877
08.10.2016;mobile_web;8172
09.10.2016;Android;9881
09.10.2016;iOS;25543
09.10.2016;mobile_web;9971
10.10.2016;Android;12794
10.10.2016;iOS;34777
10.10.2016;mobile_web;10209
11.10.2016;Android;11870
11.10.2016;iOS;29594
11.10.2016;mobile_web;11276
12.10.2016;Android;11363
12.10.2016;iOS;30515
12.10.2016;mobile_web;9586
13.10.2016;Android;11912
13.10.2016;iOS;28934
13.10.2016;mobile_web;9433
14.10.2016;Android;9681
14.10.2016;iOS;24141
14.10.2016;mobile_web;10292
15.10.2016;Android;11049
15.10.2016;iOS;27879
15.10.2016;mobile_web;7600
16.10.2016;Android;12340
16.10.2016;iOS;31564
16.10.2016;mobile_web;10226
17.10.2016;Android;10080
17.10.2016;iOS;35499
17.10.2016;mobile_web;1787
18.10.2016;Android;12038
18.10.2016;iOS;32092
18.10.2016;mobile_web;73
19.10.2016;Android;12250
19.10.2016;iOS;25475
19.10.2016;mobile_web;38
20.10.2016;Android;10334
20.10.2016;iOS;33813
20.10.2016;mobile_web;33
21.10.2016;Android;9726
21.10.2016;iOS;26356
21.10.2016;mobile_web;22
22.10.2016;Android;10792
22.10.2016;iOS;25782
22.10.2016;mobile_web;21
23.10.2016;Android;11636
23.10.2016;iOS;29999
23.10.2016;mobile_web;12
24.10.2016;Android;11317
24.10.2016;iOS;35787
24.10.2016;mobile_web;7215
25.10.2016;Android;12475
25.10.2016;iOS;29809
25.10.2016;mobile_web;10741
26.10.2016;Android;11491
26.10.2016;iOS;27977
26.10.2016;mobile_web;10390
27.10.2016;Android;10702
27.10.2016;iOS;29881
27.10.2016;mobile_web;9102
28.10.2016;Android;9986
28.10.2016;iOS;29496
28.10.2016;mobile_web;9853
29.10.2016;Android;11258
29.10.2016;iOS;26714
29.10.2016;mobile_web;9136
30.10.2016;Android;10013
30.10.2016;iOS;30761
30.10.2016;mobile_web;9812
31.10.2016;Android;12002
31.10.2016;iOS;34983
31.10.2016;mobile_web;8675
01.11.2016;Android;12280
01.11.2016;iOS;33967
01.11.2016;mobile_web;8441
02.11.2016;Android;12331
02.11.2016;iOS;32894
02.11.2016;mobile_web;9577
03.11.2016;Android;12984
03.11.2016;iOS;30470
03.11.2016;mobile_web;9228
04.11.2016;Android;12115
04.11.2016;iOS;24795
04.11.2016;mobile_web;8865
05.11.2016;Android;10554
05.11.2016;iOS;28084
05.11.2016;mobile_web;8043
06.11.2016;Android;12027
06.11.2016;iOS;27944
06.11.2016;mobile_web;9262
07.11.2016;Android;12345
07.11.2016;iOS;32598
07.11.2016;mobile_web;9461
08.11.2016;Android;12065
08.11.2016;iOS;34240
08.11.2016;mobile_web;8762
09.11.2016;Android;12828
09.11.2016;iOS;25528
09.11.2016;mobile_web;8819
10.11.2016;Android;10669
10.11.2016;iOS;31361
10.11.2016;mobile_web;9258
11.11.2016;Android;9853
11.11.2016;iOS;27644
11.11.2016;mobile_web;8629
12.11.2016;Android;9624
12.11.2016;iOS;25026
12.11.2016;mobile_web;9441
13.11.2016;Android;11210
